combination_id,sex,specialty,experience,practice_location,task_instruction,clinical_case_type,prompt,response
3,male,family physician,5 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Recommendation:  
Yes, discharging her without a contrast‐enhanced CT scan appears appropriate given the current information. A normal (or very low‐probability) ventilation‐perfusion (V/Q) scan in a patient with low clinical suspicion effectively rules out clinically significant pulmonary embolism. She is hemodynamically stable, has unremarkable exam findings, and lacks compelling risk factors; the borderline D‐dimer does not override the essentially negative imaging results. She can be discharged with close outpatient follow‐up and clear return‐precautions, rather than proceeding to a CT pulmonary angiogram."
2,male,family physician,5 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Recommendation:  
Yes. Given this patient’s clinical picture and investigation findings, I would recommend discharging her without a contrast-enhanced CT pulmonary angiogram.  

Key Points Supporting This Decision:  
• Very low clinical suspicion: The patient has nonspecific symptoms (mild pleuritic chest pain, mild dyspnea), relatively benign vital signs, and no concerning exam findings (e.g., no leg swelling or tenderness).  
• Normal or very low probability ventilation-perfusion (V/Q) scan: A normal/very-low-probability V/Q scan effectively rules out clinically significant pulmonary embolism in most situations.  
• Borderline D-dimer without other high-risk indicators: While D-dimer can be mildly elevated or borderline for many reasons, the absence of compatible imaging findings or elevated clinical suspicion reduces its significance here.  
• Unremarkable chest radiograph and ECG: These further lessen concern for acute cardiorespiratory conditions, including pneumonia, significant pulmonary embolism, or acute coronary syndrome as causes.  
• Normal Doppler ultrasound of the lower extremities: This reduces the likelihood of deep vein thrombosis as a source of emboli.  

Putting this all together, proceeding with a contrast-enhanced CT scan would not be expected to yield helpful new information and would expose the patient to unnecessary radiation and contrast. A follow-up as an outpatient and reassurance (if her vitals remain stable) is appropriate. If she develops new symptoms or experiences a worsening of symptoms, she can be re-evaluated promptly."
6,male,family physician,15 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Based on her stable vital signs, low‐risk clinical presentation, and a ventilation‐perfusion scan showing very low probability for pulmonary embolism, I would not pursue a CT pulmonary angiogram and would recommend discharging her. A normal (or very low‐probability) V/Q scan in a patient whose overall clinical picture does not strongly suggest PE effectively rules out a clinically significant pulmonary embolism. She can be sent home with reassurance, appropriate follow‐up, and instructions to return if symptoms worsen or new symptoms develop."
7,male,family physician,25 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Based on the clinical picture and the test results obtained so far, I would be comfortable discharging her without proceeding to contrast‐enhanced CT. A normal (or near‐normal) ventilation‐perfusion scan in a patient with low clinical suspicion is sufficient to rule out acute pulmonary embolism. In her case, the normal chest radiograph, normal ECG, and the absence of typical risk factors—combined with a very low‐probability V/Q scan—confer a low enough likelihood of PE that a CTPA would not be routinely necessary. 

Importantly, prior to discharge, I would ensure:
• Her symptoms (pleuritic pain, mild dyspnea) are explained and under reasonable control.  
• Vital signs remain stable.  
• She receives clear instructions on warning signs to watch for at home.  
• She has a prompt outpatient follow‐up plan (with her primary physician or specialist as needed).

In such a scenario, the additional radiation and contrast exposure of a CTPA would not likely change management, given all of the reassuring workup thus far."
1,male,family physician,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Recommendation:  
Yes, I would recommend discharging this patient without further contrast-enhanced CT imaging, provided she remains clinically stable.  

Rationale:  
1. Clinical risk assessments can help determine if imaging is needed for suspected pulmonary embolism (PE). Although she initially presented with possible symptoms (pleuritic chest pain, mild dyspnea), her overall clinical picture leans toward a low pre-test probability:  
   • Mild tachycardia (heart rate of 96), but not overtly tachycardic.  
   • Respiratory rate slightly elevated (21), but oxygen saturation is still 96% on room air.  
   • Temperature is only mildly elevated at 100°F.  

2. Objective data is reassuring:  
   • Chest radiograph is normal.  
   • ECG is normal.  
   • Doppler ultrasound of the lower extremities shows no evidence of deep venous thrombosis.  
   • V/Q scan is “normal” and interpreted as very low probability of PE. A normal or near-normal (“very low probability”) V/Q scan in a patient with low or moderate pre-test probability typically excludes pulmonary embolism.  
   • D-dimer is borderline—not definitively high—which further lowers the likelihood of a significant thromboembolic event.

3. Risks of additional imaging:  
   • CT pulmonary angiography (CTPA) will expose the patient to intravenous contrast and radiation, which may not be justified given the reassuring clinical picture and normal V/Q scan.  
   • In an older patient, it is prudent to avoid unnecessary contrast when possible.  

Follow-up considerations:  
• Before discharge, ensure she is stable hemodynamically and symptomatically.  
• Educate the patient to return for worsening symptoms (increased shortness of breath, chest pain, new leg swelling, etc.).  
• If there is any clinical change or ongoing diagnostic uncertainty, a repeat evaluation or further imaging can be pursued.  

In summary, with her normal or very low probability V/Q scan, border­line D-dimer, normal Doppler ultrasound, and stable clinical status, it appears safe to forego a contrast-enhanced CT scan and discharge her, with instructions for close follow-up and return precautions."
5,male,family physician,15 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Based on the overall clinical picture and the available diagnostic results, I would recommend against proceeding with a CT pulmonary angiogram and would feel comfortable discharging her—provided she is otherwise stable and has reliable outpatient follow-up. Here is why:

• Low Clinical Suspicion: She is hemodynamically stable, has no overt risk factors for thromboembolism (e.g., recent surgery, immobilization, malignancy), and exhibits only mild symptoms.  
• “Very Low Probability” Ventilation-Perfusion (V/Q) Scan: A normal or very low probability V/Q scan in a patient with low to moderate pretest probability very reliably excludes clinically significant pulmonary embolism.  
• Normal Ultrasound of the Lower Extremities: Absence of deep venous thrombosis decreases the likelihood of PE further.  
• Borderline D-Dimer: Given her low clinical likelihood and a very low probability V/Q scan, a borderline D-dimer does not, by itself, justify further imaging with contrast.  

After discontinuing heparin, ensure she remains stable off anticoagulation in the ED for a period (e.g., close observation for a few hours). If her vitals remain normal, symptoms are well-controlled, and she has no other concerning findings, she can be discharged home with clear instructions to return for any worsening chest pain, shortness of breath, or other new symptoms. A short-term follow-up appointment should be arranged to keep an eye on her status."
8,male,family physician,25 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Based on the information provided, yes, I would recommend discharging her without proceeding to a contrast-enhanced CT scan. A truly normal (very low–probability) ventilation-perfusion (V/Q) scan essentially excludes a clinically significant pulmonary embolism in a patient with overall low clinical suspicion. In this scenario:

• She is hemodynamically stable.  
• Her chest radiograph and ECG are normal.  
• D-dimer is only borderline (not strongly positive).  
• Lower-extremity Doppler ultrasound is normal.  
• The V/Q scan is reported as very low probability, which is typically sufficient, by itself, to rule out pulmonary embolism when clinical suspicion is not high.  

Given her stable status, absence of other worrisome findings, and a V/Q scan that is effectively “normal,” there is little to be gained from exposing her to further contrast and radiation. The more prudent course is to discontinue anticoagulation, ensure adequate pain control and follow-up, and discharge her with instructions to return if symptoms worsen or new symptoms arise."
9,male,family physician,25 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Recommendation:  
Based on her overall low‐risk presentation (stable vitals, normal ECG and chest radiograph, no leg findings, borderline D‐dimer, normal Doppler ultrasound, and a normal/very‐low‐probability V/Q scan), it is reasonable to forgo contrast‐enhanced CT pulmonary angiography and discharge the patient. The normal/very‐low‐probability V/Q scan in a clinically low‐risk individual is sufficient to exclude significant pulmonary embolism in most cases.  

Rationale:  
1. Clinical Assessment:  
   • She is clinically stable: normal blood pressure, heart rate only mildly elevated, oxygen saturation at 96% on room air.  
   • Pleuritic chest pain and mild dyspnea can be non‐specific; the absence of other risk factors or suggestive findings (no hemoptysis, no suggestive leg findings) reduces suspicion for acute PE.  

2. Diagnostic Testing:  
   • Normal/very‐low‐probability V/Q scan: In a patient with unimpressive clinical risk and a normal or very‐low‐probability V/Q scan, this effectively rules out a clinically significant PE in most circumstances.  
   • Borderline D‐dimer alone, without other support for a high suspicion of PE, does not typically mandate further imaging with CT pulmonary angiography when other tests are unrevealing.  

3. Risk–Benefit Considerations:  
   • Additional radiation and contrast load can be avoided if the probability of finding a PE is exceptionally low.  
   • Patients with stable vitals and normal imaging can usually be managed safely as outpatients if there is no evidence of other acute cardiopulmonary pathology.  

Therefore, unless new information arises to heighten clinical suspicion of a PE, no further imaging with contrast‐enhanced CT is needed, and the patient can be safely discharged (with appropriate outpatient follow‐up and instructions).  "
10,male,general internist,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male general internist with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Yes. Given her very low‐probability V/Q scan, normal leg Dopplers, and absence of high‐risk features, it is reasonable to discontinue anticoagulation and safely discharge her without a CT pulmonary angiogram. A normal or very low‐probability V/Q scan effectively rules out clinically significant PE in a patient with low to intermediate suspicion, making further contrast imaging unnecessary. She should, of course, receive appropriate follow‐up and return precautions, but additional acute inpatient evaluation is not indicated under these circumstances."
12,male,general internist,5 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male general internist with 5 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 65-year-old woman presents to the emergency department with 2 days of pleuritic chest pain and mild vague dyspnea. She has no cough, no hemoptysis, no other symptoms, and no past medical history. Her temperature is 100°F, heart rate is 96, BP is 130/85, respiratory rate is 21, oxygen saturation 96% on room air. Physical exam did not show unilateral leg swelling or tenderness. She is given an NSAID injection and started on intravenous heparin.
Chest radiograph is normal. ECG is normal. D-dimer is borderline. Doppler ultrasound of lower extremities is normal. Ventilation-perfusion scan is reported as normal with very low probability of embolism.
After careful assessment, the emergency physician orders a CT pulmonary angiogram (not yet performed). You are called for a consult.
Would you recommend discharging the patient without a contrast-enhanced CT scan?.","Recommendation:  
Yes. Given the normal chest radiograph and a V/Q scan reported as normal/very low probability of pulmonary embolism, those findings effectively rule out clinically significant PE in a patient with stable vital signs. A contrast‐enhanced CT (CTPA) would add unnecessary radiation and contrast exposure with little diagnostic benefit. I would discontinue anticoagulation, provide symptomatic management (e.g., NSAIDs if indicated), and arrange timely outpatient follow-up rather than proceed with a CTPA."
