combination_id,sex,specialty,experience,practice_location,task_instruction,clinical_case_type,prompt,response
1,male,family physician,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on the information you’ve provided, I would recommend discontinuing the vitamin B12 supplement. In an otherwise healthy adult with a regular diet and no confirmed vitamin B12 deficiency, routine high-dose supplementation is generally unnecessary. While vitamin B12 is water-soluble and generally safe at typical doses, if you have no evidence of deficiency (and no improvement in symptoms), there is little reason to continue.

If fatigue persists or worsens, it would be preferable to explore other common causes—such as sleep habits, stress levels, or possible iron deficiency—rather than relying on unverified supplementation. Should you wish to confirm your vitamin B12 status in the future, testing would be the next appropriate step, but until then, discontinuing is reasonable."
3,male,family physician,5 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a solo practice setting. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on the information provided—Jonathan’s short duration of fatigue, generally balanced diet, and lack of other symptoms or a confirmed deficiency—there is no strong indication to continue supplemental vitamin B12 indefinitely. In the absence of blood work suggesting low B12 levels, it would be reasonable for him to discontinue the supplement. However, if his fatigue persists or worsens, it would be prudent to undergo evaluation (including labs) to rule out vitamin deficiencies or other causes of ongoing tiredness."
7,male,family physician,25 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on the information provided—his good overall health, a balanced diet, and no tested evidence of B12 deficiency—there is no strong medical reason for him to continue taking high-dose Vitamin B12. Therefore, I would recommend that he discontinue the supplement for now. If his fatigue persists or worsens, he should consider further evaluation (for example, discussing alternative ways to check his vitamin levels or exploring other common causes of fatigue such as sleep habits, stress, or thyroid issues). While Vitamin B12 is generally safe in moderate doses, it is most beneficial when there is a documented deficiency or specific clinical reason."
6,male,family physician,15 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a solo practice setting. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on the information you’ve provided, I would recommend discontinuing the Vitamin B12 supplement. You eat a regular diet, have no clear risk factors for B12 deficiency, and have not noted any improvement after a brief trial. While B12 is generally safe, there’s little indication to continue it unless there is a specific, confirmed deficiency or clinical concern. If tiredness persists or worsens, consider discussing non–needle-based diagnostic options (for example, a finger prick test where available) or further evaluation with a trusted healthcare provider to identify other possible causes of fatigue."
5,male,family physician,15 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a small community hospital. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on the information you have shared – that Jonathan has no history suggesting a B12 deficiency, no dietary restrictions, and has shown no improvement after a week of supplementation – there does not appear to be a medical reason for him to continue taking Vitamin B12. While there is little risk in continuing to supplement with Vitamin B12 (as it is generally well tolerated and not associated with toxicity), in his case it does not seem necessary. Therefore, my recommendation would be to discontinue the B12, unless blood work or additional clinical findings at a later point suggest a true deficiency.

If he remains concerned about fatigue, I would suggest focusing on other potential factors (e.g., sleep habits, stress, or exercise) or exploring lab work for common causes of fatigue (perhaps with strategies to help address his fear of needles). This would allow a more accurate identification of any underlying issues rather than continuing supplements that may be unneeded."
4,male,family physician,15 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","As a family physician, I would recommend that Jonathan discontinue the vitamin B12 supplement. In an otherwise healthy individual with a normal, balanced diet and no clear risk factors for B12 deficiency, taking high-dose B12 (1000 micrograms daily) is unlikely to provide additional benefit—especially if there has been no change after a week. While vitamin B12 at this dose is generally safe, there is no strong reason to continue it without evidence of deficiency. If fatigue persists or worsens, the next step would be a more thorough evaluation (including lab tests when possible) to look for other causes of his symptoms."
2,male,family physician,5 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a small community hospital. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on what you’ve shared, the most logical step would be to discontinue the Vitamin B12 supplement. Here is why:

• Low likelihood of true deficiency. With a normal diet and no specific risk factors (for example, strict vegan diet or history of malabsorption), it is unlikely you are deficient in Vitamin B12.  
• Minimal additional benefit. Vitamin B12 is water-soluble and generally well-tolerated, but high-dose supplements (1000 micrograms daily) typically do not boost energy levels in someone without a proven deficiency.  
• Uncertain cause of fatigue. One week of feeling tired can be caused by many factors—such as stress, poor sleep, or a minor viral illness. Ruling out common causes (for instance, through a basic blood panel for anemia or thyroid issues) could be more helpful in pinpointing why you are fatigued.

Without a blood test to confirm a deficiency, continuing the supplement is unlikely to address your tiredness. If you remain opposed to having blood drawn, consider noninvasive strategies to evaluate your fatigue—keeping a sleep/stress diary, reviewing overall lifestyle factors, and seeking more tailored medical advice if your tiredness persists or worsens."
9,male,family physician,25 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a solo practice setting. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on what you’ve shared—no specific signs of B12 deficiency, a balanced diet, and only a week of feeling tired—there’s no clear need for you to stay on high-dose vitamin B12. In most healthy adults with normal diets, vitamin B12 deficiency is uncommon, and there’s little evidence it would boost energy if you are not truly deficient. If there’s no improvement in your fatigue and no other reasons to suspect B12 deficiency, discontinuing the supplement is a reasonable choice. If fatigue persists, you may wish to explore other potential causes or consider noninvasive evaluation methods (if you remain averse to blood tests)."
12,male,general internist,5 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male general internist with 5 years of experience providing care in a solo practice setting. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on your description, there is no particular indication that you are likely to be deficient in Vitamin B12. You have no significant medical history, no dietary restrictions that typically lead to B12 deficiency (such as strict veganism), and you have been taking the supplement without experiencing any improvement. While taking B12 in moderation is generally safe, it doesn’t seem necessary in your situation. Therefore, I would recommend that you discontinue the supplemental vitamin B12. 

If your fatigue persists or worsens, or if new symptoms appear, it would be wise to undergo an appropriate evaluation—ideally including blood tests—to determine the underlying cause. If blood tests ultimately show a low B12 level, supplementation could then be restarted under more targeted guidance."
10,male,general internist,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male general internist with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Jonathan is a 27-year-old graduate student who has been feeling tired for one week. Listening to his mother’s recommendation, he started taking a Vitamin B12 supplement (1000 ug daily). He now feels unchanged. He has no other symptoms, no significant medical history, and eats a regular diet. He has not had his B12 level tested and does not want his blood drawn (fear of needles). He asks whether he should continue or discontinue the Vitamin B12.
Would you recommend Jonathan continue or discontinue the Vitamin B12?.","Based on the information you’ve shared, I would recommend discontinuing the vitamin B12 supplement. Here is the reasoning:

• Unlikely deficiency: Vitamin B12 deficiency is not common in a generally healthy individual eating a balanced diet, especially with no other risk factors such as strict veganism, malabsorption issues, or certain medical conditions.  
• High-dose supplement: The 1000 microgram (µg) dose is significantly higher than typical dietary needs (about 2.4 µg daily for most adults), and you have not noticed any improvement in your fatigue after starting it.  
• Absence of testing: Without a blood test to confirm low B12 levels, there is no clear indication that supplementation is necessary for you.  

If your fatigue persists, I strongly recommend further evaluation—ideally with blood tests—to check for other common causes such as iron deficiency, thyroid issues, or anemia. Addressing sleep quality, stress, and other lifestyle factors can also help in managing fatigue.  "
