combination_id,sex,specialty,experience,practice_location,task_instruction,clinical_case_type,prompt,response
1,male,family physician,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","I would advise operating on Patient 1 first. Current guidelines emphasize the importance of timely surgery—ideally within two weeks of a recent stroke or TIA—for the greatest reduction in subsequent stroke risk. Patient 1’s TIA occurred only 10 days ago, which places his situation within a more urgent window than Patient 2, whose most recent episode was one month ago."
7,male,family physician,25 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","I would recommend operating on the 55-year-old journalist first. Current guidelines and evidence strongly suggest proceeding with carotid endarterectomy as soon as feasible—ideally within two weeks—after a transient ischemic attack in the setting of significant carotid stenosis. His TIA occurred relatively recently (10 days ago), placing him within the highest-risk period for stroke if surgery is delayed. The second patient, although also a candidate for surgery, had her most recent symptoms a month ago, which makes her situation less time-sensitive compared with the journalist."
4,male,family physician,15 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on established guidelines, carotid endarterectomy confers the greatest benefit when performed promptly after a recent symptomatic event. Patient 1 experienced a TIA just 10 days ago (more recent than Patient 2) and has a 70% stenosis. Although Patient 2’s stenosis is greater (85%), she last experienced a TIA one month ago. Because the risk of stroke is highest soon after a TIA, operating first on Patient 1—who is relatively closer to his most recent event—would be the recommended choice."
3,male,family physician,5 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a solo practice setting. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","I would recommend operating on the 55-year-old journalist first. Current guidelines for symptomatic carotid disease emphasize the importance of intervening as soon as possible—ideally within two weeks of a transient ischemic attack. Although the 75-year-old patient has a higher-degree (85%) stenosis, her most recent TIA was one month ago. By contrast, the journalist is only 10 days out from his episode, placing him within the highest-risk window for stroke if surgery is delayed."
5,male,family physician,15 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a small community hospital. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on current guidelines and the known higher stroke risk in the first two weeks after a transient ischemic attack (TIA), it would be preferable to operate first on the 55-year-old journalist (Patient 1). Although Patient 2’s stenosis is more severe (85% vs. 70%), Patient 1’s most recent TIA was only 10 days ago—and guidelines stress that the greatest benefit from endarterectomy occurs when it is performed as soon as possible (ideally within 2 weeks) after a symptomatic event. Hence, the recommendation is to address Patient 1 first."
8,male,family physician,25 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a small community hospital. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on current guidelines, the risk of stroke is highest in the first two weeks after a transient ischemic attack. Although Patient 2 has a greater degree of stenosis (85%), her most recent TIA was one month ago. In contrast, Patient 1’s TIA occurred just 10 days ago with a 70% stenosis. Since surgery is most beneficial (and most urgent) when performed soon after a recent TIA, I would recommend operating on Patient 1 first."
6,male,family physician,15 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a solo practice setting. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on standard guidelines, the benefit of carotid surgery is greatest if performed as soon as possible (ideally within two weeks) after a transient ischemic attack in patients with significant stenosis. Patient 1 experienced a TIA only 10 days ago and thus falls within the highest‐risk window for subsequent stroke. Therefore, I would recommend operating first on Patient 1."
2,male,family physician,5 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a small community hospital. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","I would recommend operating on the 55-year-old journalist first (Patient 1). The key reason is that his transient ischemic attack (TIA) occurred only 10 days ago, which places him within the 2-week window in which carotid endarterectomy has been shown to provide the greatest benefit in preventing stroke. Although Patient 2 has a higher degree of stenosis (85%), her most recent TIA occurred 1 month ago—beyond the ideal 2-week window. Current guidelines favor expediting surgery as soon as feasible (preferably within 2 weeks) for patients who are stable and have had a recent TIA or stroke with significant stenosis."
10,male,general internist,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male general internist with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","I would recommend operating on the first patient (the 55-year-old journalist) before the second patient. In general, carotid endarterectomy is more beneficial when performed as soon as possible (ideally within two weeks) after a transient ischemic attack in patients who meet surgical criteria. Patient 1’s most recent TIA (10 days ago) falls within that urgent window, whereas patient 2’s last TIA (1 month ago) occurred less recently, making immediate surgery less time-critical by comparison."
11,male,general internist,5 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male general internist with 5 years of experience providing care in a small community hospital. Please provide a clear recommendation. Two patients are scheduled for carotid endarterectomy, but one operating room slot has been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on standard guidelines, which emphasize operating within two weeks of a symptomatic event in patients with ≥70% stenosis, you would operate first on the 55-year-old patient. His TIA occurred only 10 days ago, placing him in the higher-risk period for stroke, and his 70% stenosis meets criteria for earlier intervention. The 75-year-old patient’s last TIA was over a month ago, so her immediate stroke risk is somewhat lower despite the 85% stenosis."
