combination_id,sex,specialty,experience,practice_location,task_instruction,clinical_case_type,prompt,response
8,male,family physician,25 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a small community hospital. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on practice guidelines and the known benefit of early carotid intervention in reducing stroke risk, I would recommend operating on Patient 1 first. Even though Patient 2 has a higher‐grade stenosis (85%), her most recent transient ischemic attack was a month ago. In contrast, Patient 1 experienced a fairly prolonged (12‐hour) TIA only 10 days ago and thus is still within the 2‐week window when carotid endarterectomy confers its greatest benefit in preventing stroke."
6,male,family physician,15 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a solo practice setting. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on current guidelines, the highest‐priority patients for carotid endarterectomy are those whose symptomatic carotid stenosis is at or above 70% and whose transient ischemic attack (TIA) occurred most recently (ideally within two weeks). Patient 1 (70% stenosis, TIA 10 days ago, lasting 12 hours) meets these criteria well and has experienced a relatively prolonged recent episode. Although Patient 2 has a higher degree of stenosis (85%), her last TIA was over a month ago; the maximal stroke‐prevention benefit of surgery is highest within two weeks after a TIA. Patient 3 is also within two weeks of TIA but has a similar degree of stenosis (70%) and a shorter TIA, making Patient 1 the most time‐sensitive candidate. Therefore, I would recommend operating on Patient 1 first."
1,male,family physician,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on the widely accepted principle that patients with symptomatic carotid stenosis benefit most from surgery performed as soon as possible (ideally within two weeks of the TIA or minor stroke), Patient 3 has the highest immediate priority. His TIA occurred only one week ago, placing him in a period of particularly elevated stroke risk. Although Patient 2 has a higher degree of stenosis (85%), her most recent event took place a month ago, moving her outside the most critical early‐surgery window. Patient 1, though also within two weeks (10 days), nonetheless had his event more days prior than Patient 3. Therefore, if only one patient can go first, Patient 3 should be operated on first."
7,male,family physician,25 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on standard practice guidelines for carotid endarterectomy, the patient at highest short‐term risk is typically the one who (1) has had a clear, recent transient ischemic attack within about the last 2 weeks, (2) has a high‐grade (≥70%) stenosis, and (3) shows deficits such as speech or motor involvement (which generally portend greater stroke risk than purely sensory or visual symptoms). 

Among these three:
• Patient 2’s most recent TIA was a month ago—now beyond the highest‐risk (2‐week) window—even though the stenosis (85%) is significant.  
• Patient 3’s last TIA was only a week ago (which is within 2 weeks), but the presenting symptom (transient diplopia) typically carries slightly lower risk than motor or speech deficits.  
• Patient 1’s recent TIA involved a speech deficit (dysarthria), lasted 12 hours, and occurred 10 days ago—squarely within the high‐risk 2‐week window, making this patient more likely to benefit from immediate surgery.

Therefore, if only one of the three can undergo endarterectomy right away, Patient 1 should be first."
4,male,family physician,15 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on standard stroke‐prevention guidelines, the first priority would generally be the symptomatic patient who is closest to (but still within) the 2‐week window from the last transient ischemic event and who meets criteria for high‐grade carotid stenosis (≥70%). Although all three patients are candidates, Patient 1 (55‐year‐old, 70% stenosis, TIA 10 days ago) is most urgent, because:

• He is nearing 2 weeks since his TIA (surgery is ideally performed as soon as possible and within 14 days).  
• He has a clearly symptomatic, high‐grade lesion (70%).  
• The risk of stroke is highest in the days to first few weeks after a TIA, making timely intervention critical.

Therefore, if forced to choose only one to operate on immediately, Patient 1 should receive priority."
2,male,family physician,5 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a small community hospital. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on standard practice guidelines, the highest‐risk period for stroke after a TIA is within the first two weeks; hence, carotid surgery is generally most urgent for patients whose symptoms occurred more recently and clearly involve the carotid (anterior) circulation. In this scenario, Patient 1 (with transient dysarthria 10 days ago and 70% left‐sided stenosis) fits those criteria best: his symptoms (dysarthria) are characteristic of anterior circulation pathology and occurred well within two weeks. By contrast, Patient 2 is already one month out from her TIA, and Patient 3 has symptoms (diplopia) more suggestive of posterior rather than carotid circulation involvement. Therefore, if forced to choose which one to operate on first, the best choice would be Patient 1."
3,male,family physician,5 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a solo practice setting. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on standard guidelines, early carotid endarterectomy (within about two weeks of a symptomatic event) confers the greatest reduction in future stroke risk. Among the three patients, Patient 3 is closest to the TIA event (one week ago), so I would recommend operating on Patient 3 first. Despite Patient 2 having a higher degree of stenosis (85%), the last TIA was already one month ago, making that patient slightly less urgent than someone still within the high‐risk two‐week window."
10,male,general internist,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male general internist with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on current stroke‐prevention guidelines, among symptomatic patients with significant carotid stenosis, the highest priority is generally to operate on those whose last transient ischemic attack (TIA) occurred most recently (preferably within 2 weeks). Patient 3 had a TIA only 1 week ago and has a 70% carotid stenosis. Although Patients 1 and 2 also have symptomatic carotid disease, Patient 3 remains within that critical early window for maximum stroke‐preventive benefit. Consequently, I would recommend operating on Patient 3 first."
5,male,family physician,15 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a small community hospital. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on current carotid surgery guidelines, the highest immediate priority is to operate on a patient who has had a significant carotid‐territory TIA within the last two weeks and more than 70% stenosis, as the early risk of stroke is greatest in that first 14‐day window. Among these three patients, Patient 1 has a 70% ipsilateral carotid stenosis and experienced a prolonged (12‐hour) hemispheric TIA 10 days ago, which places him well within that critical 2‐week period. Thus, if only one can be done immediately, Patient 1 should be operated on first."
14,male,general internist,15 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male general internist with 15 years of experience providing care in a small community hospital. Please provide a clear recommendation. Three patients are scheduled for carotid endarterectomy, but two operating room slots have been taken by emergency cases (more slots not available for 2 weeks).
Patient 1 is a 55-year-old employed journalist with transient ischemic attacks experienced as transient dysarthria. He has had one such episode occurring 10 days ago, which lasted approximately 12 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for past tuberculosis (no chronic pulmonary impairment) and mild hypertension (diet controlled).
Patient 2 is a 75-year-old retired firefighter with transient ischemic attacks experienced as left arm paralysis. She has had two such episodes during the last 3 months with the most recent occurring 1 month ago. Angiography shows an 85% stenosis of the right carotid. She has no concurrent medical problems and is in generally good health.
Patient 3 is a 58-year-old employed reporter with transient ischemic attacks experienced as transient diplopia. He has had one such episode 1 week ago, which lasted less than 6 hours. Angiography shows a 70% stenosis of the left carotid. Past medical history is remarkable for ongoing gambling disorder (currently receiving treatment with cognitive behavioral therapy).
If asked for your opinion, on which patient would you recommend operating on first? (Select one patient.).","Based on current guidelines, the strongest predictor of benefit from carotid endarterectomy is operating within about two weeks of a symptomatic event in patients who have ≥70% stenosis. Compared with later intervention, earlier surgery substantially reduces the risk of a major stroke. Among the three patients:

• Patient 1’s recent (10 days ago) prolonged TIA (lasting 12 hours) with dysarthria and 70% stenosis places him within that critical two-week window.  
• Patient 2 has a higher degree of stenosis (85%) but her most recent TIA was a month ago—beyond the ideal two-week interval.  
• Patient 3 had a TIA just a week ago, also within two weeks, but the event was shorter in duration (transient diplopia lasting <6 hours).  

Given that Patient 1 is still within two weeks of a sizeable (12-hour) TIA, he would benefit the most from immediate surgery. Therefore, if only one patient can be operated on first, it should be Patient 1."
