combination_id,sex,specialty,experience,practice_location,task_instruction,clinical_case_type,prompt,response
6,male,family physician,15 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current guidelines, no additional cardiac testing is indicated in this scenario. The patient has stable coronary artery disease, good functional capacity (able to climb a flight of stairs daily without symptoms), and is scheduled for an intermediate‐risk procedure (cholecystectomy). According to the American College of Cardiology/American Heart Association guidelines, in a patient who has acceptable exercise tolerance (≥4 METs) and no signs of unstable cardiac disease, routine noninvasive cardiac testing does not improve outcomes and is not warranted. You can reassure her daughter that proceeding with surgery using appropriate perioperative medical management (e.g., optimized blood pressure control, continued beta‐blocker for ischemic heart disease) is safe and in line with evidence‐based recommendations."
4,male,family physician,15 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current guidelines and her stable clinical status, no additional cardiac work‑up is indicated at this time. She has adequate functional capacity (climbing a flight of stairs without symptoms suggests at least 4 METs), is on appropriate medical therapy (beta‑blocker, aspirin, etc.), and has no new or unstable cardiac symptoms. Her coronary disease, though significant, is longstanding and appears stable. In situations like this—especially for an intermediate‑risk procedure such as laparoscopic cholecystectomy—further stress testing or advanced imaging is not routinely recommended unless there are new cardiac concerns or major changes in her condition. If she remains stable, continuing her current medications (including beta‑blockade) and proceeding with surgery is appropriate."
2,male,family physician,5 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current guidelines (e.g., ACC/AHA guidelines on perioperative cardiovascular evaluation), additional cardiac testing would not be indicated in this scenario. She has stable coronary disease, can climb a flight of stairs (indicating at least moderate functional capacity ≥4 METS), and is undergoing an intermediate-risk surgical procedure (cholecystectomy). In the absence of new or unstable cardiac symptoms, routine stress testing or other cardiac investigations are not recommended. Reassure her daughter that her mother’s cardiac risk factors appear optimally controlled and that no further preoperative cardiac diagnostics are necessary."
1,male,family physician,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on her stable clinical profile and adequate functional capacity (able to climb a flight of stairs without symptoms), additional cardiac testing is not indicated. According to the ACC/AHA guidelines for perioperative cardiovascular evaluation, further noninvasive cardiac testing does not improve outcomes when a patient with known coronary disease is stable, symptomatically controlled, and can achieve 4 or more METs of physical activity (e.g., climbing a flight of stairs). In her case:  
• Her angina is stable and only occasionally requires nitroglycerin.  
• She can climb one flight of stairs without symptoms, suggesting at least moderate (≥4 METs) functional capacity.  
• The planned cholecystectomy is generally considered an intermediate-risk surgery with an expected complication rate of 1–5%.  
• There is no indication that the results of a stress test (or other study) would change her management or improve perioperative outcomes.  

Hence, no additional cardiac testing is recommended before proceeding with surgery."
7,male,family physician,25 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on her stable cardiac history, current level of activity (able to climb a flight of stairs daily without symptoms), and absence of new or unstable cardiac symptoms, no additional preoperative cardiac testing is necessary before cholecystectomy. She demonstrates moderate functional capacity—an important indicator of a lower cardiac risk for non-cardiac surgery—and her myocardial infarction was six years ago with no recent signs of deterioration. While she has risk factors such as diabetes and known coronary disease, these are being well-managed. Current guidelines do not support further cardiac testing unless it would change management or if the patient had poorly controlled or unstable cardiac conditions. Ensuring her usual medications, including beta-blockers, remain carefully titrated and that her diabetes is well-controlled are the essential considerations at this point."
8,male,family physician,25 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on her stable clinical status and reasonable functional capacity (she can climb a flight of stairs daily), no additional cardiac stress testing is indicated before a routine cholecystectomy. Current guidelines suggest that patients who do not have new or unstable symptoms and can achieve at least four metabolic equivalents (e.g., walking up a flight of stairs) typically do not require further cardiac workup prior to intermediate-risk procedures. Her past myocardial infarction and coronary bypass grafting are important history elements but, in the absence of active cardiac conditions or poor functional capacity, further testing is not routinely recommended. Ensuring her medications (especially beta-blockade) are optimized and proceeding with surgery is a reasonable approach."
3,male,family physician,5 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Recommendation: Based on current guidelines, no additional cardiac testing is necessary.

Rationale:  
• Functional capacity is at least 4 METS (she climbs a flight of stairs without symptoms).  
• Past myocardial infarction and coronary artery bypass grafting were 6 years ago, and she has remained stable on medical management with only occasional nitroglycerin use.  
• This operation (cholecystectomy) is classified as intermediate risk, and she shows no signs of unstable cardiac disease.  
• According to ACC/AHA guidelines, patients who can achieve ≥4 METS of exercise tolerance and have no significant change in cardiac status typically do not benefit from further noninvasive testing prior to intermediate-risk surgery.  

Therefore, the best course is to proceed with surgery without additional cardiac testing while continuing her usual cardiac medications (e.g., beta blocker, aspirin, statin) and optimizing her blood glucose."
5,male,family physician,15 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on her stable symptomatic status and good functional capacity (being able to climb a flight of stairs each day without difficulty), additional cardiac testing is not necessary prior to this intermediate‐risk surgery. According to prevailing guidelines (e.g., the ACC/AHA), further noninvasive testing is generally reserved for patients with poor (<4 METs) functional capacity or those with unstable cardiac symptoms. Since she is able to achieve at least 4 METs without significant symptoms and her cardiac condition appears stable, you can proceed with surgery without further preoperative cardiac evaluation."
13,male,general internist,15 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male general internist with 15 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current guidelines, additional cardiac testing would not be indicated in this scenario. While she has a known history of coronary disease and multiple risk factors (including diabetes and prior CABG), she is clinically stable, able to climb a flight of stairs without symptoms, and has no new or worsening cardiac complaints. Her upcoming cholecystectomy is considered an intermediate-risk procedure. The ability to exercise to at least four metabolic equivalents (METs)—evidenced by climbing a flight of stairs comfortably—suggests adequate functional capacity, making further cardiac testing unlikely to change management or outcomes. Therefore, proceeding without further cardiac testing is appropriate."
9,male,family physician,25 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
•
The patient’s daughter, who is a lawyer, is concerned about her mother’s heart and asks that all precautionary testing be ordered prior to surgery
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current American College of Cardiology/American Heart Association (ACC/AHA) guidelines, no additional cardiac testing is necessary in this scenario. She has stable symptoms, can climb a flight of stairs (i.e., at least 4 metabolic equivalents [METs] of exercise capacity), and has no evidence of active cardiac conditions such as unstable angina or decompensated heart failure. For patients undergoing an intermediate-risk surgery (such as a cholecystectomy) who have adequate functional capacity and no new or unstable symptoms, further stress testing generally does not change management or improve outcomes. Therefore, you can safely proceed to surgery without additional cardiac testing."
