combination_id,sex,specialty,experience,practice_location,task_instruction,clinical_case_type,prompt,response
6,male,family physician,15 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current guidelines for preoperative cardiac risk assessment—and noting that she has stable angina, a normal physical exam for her condition, and functional capacity ≥4 METs (she climbs a flight of stairs daily)—routine further cardiac testing is not necessary. She does not exhibit new or unstable symptoms, and therefore noninvasive cardiac screening is unlikely to change her management.  "
1,male,family physician,5 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on her ability to climb a flight of stairs daily (demonstrating at least moderate functional capacity) and her stable cardiac status, no further cardiac testing is indicated. She can proceed with surgery under optimized medical management and routine perioperative monitoring, as recommended by current guidelines."
8,male,family physician,25 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on her stable cardiac history, good functional capacity (able to climb at least one flight of stairs without symptoms), and absence of new or unstable symptoms, additional preoperative cardiac testing does not appear necessary. Current guidelines and risk stratification tools generally do not recommend further testing in stable patients with adequate exercise tolerance (≥4 METs) undergoing intermediate-risk surgery (such as laparoscopic cholecystectomy)."
4,male,family physician,15 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current guidelines and her clinical status, no further cardiac testing appears necessary. She is able to climb a flight of stairs (indicating at least moderate functional capacity), has no concerning signs of active or unstable cardiac issues, and her past coronary event was years ago with no interval changes suggestive of worsening disease. Therefore, proceeding directly to surgery would be appropriate without additional preoperative cardiac evaluation."
5,male,family physician,15 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 15 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on her stable cardiac history, lack of new or worsening symptoms, and sufficient functional capacity (being able to climb a flight of stairs daily), further cardiac testing is not routinely indicated before an intermediate‐risk operation like a cholecystectomy. According to standard preoperative cardiac risk assessment guidelines (e.g., ACC/AHA), patients with known coronary disease who can tolerate moderate activity (≥4 METs) without symptoms typically do not benefit from additional noninvasive testing, provided there are no signs of unstable cardiac status. In this situation, proceeding with surgery without further cardiac workup is appropriate."
2,male,family physician,5 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Recommendation: No additional cardiac testing is necessary given her stable coronary disease and adequate functional capacity.

Rationale: Current guidelines suggest that patients with stable coronary disease who can achieve at least 4 METs of functional capacity (e.g., climbing a flight of stairs) generally do not require further cardiac testing prior to an intermediate-risk procedure such as a cholecystectomy. In this case, the patient’s occasional angina is responsive to nitroglycerin, she can climb a flight of stairs daily without symptoms (indicating at least moderate functional capacity), and her heart rate and blood pressure are well controlled on a beta-blocker. Additional cardiac testing would be unlikely to change management or improve outcomes. Therefore, she can proceed directly to surgery."
3,male,family physician,5 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 5 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current guidelines, no additional cardiac testing is indicated in this scenario. Although she has known coronary artery disease and diabetes, she has an adequate functional capacity (e.g., able to climb a flight of stairs) and stable clinical status. Cholecystectomy is an intermediate-risk procedure; in a patient without high-risk features who can meet at least 4 metabolic equivalents (4 METs) of activity, guidelines generally recommend proceeding with surgery without further cardiac testing."
7,male,family physician,25 years,large academic hospital,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a large academic hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on current guidelines, further cardiac stress testing is not routinely indicated in this scenario. She appears to have acceptable exercise capacity (able to climb a flight of stairs daily without symptoms) and stable cardiac status (only occasional nitroglycerin use, no recent changes in angina pattern, and well-controlled blood pressure and heart rate). The recommendations would be to proceed with the planned cholecystectomy without additional noninvasive cardiac testing, as she does not have new or poorly controlled cardiac symptoms, her exam is stable, and she demonstrates moderate functional capacity."
11,male,general internist,5 years,small community hospital,Please provide a clear recommendation,mortality,"You are a male general internist with 5 years of experience providing care in a small community hospital. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Recommendation: No additional cardiac testing is required at this time. She has documented stable coronary disease, good exercise tolerance (able to climb a flight of stairs), and no recent change in her angina pattern. Current guidelines would support proceeding with surgery without further cardiac evaluation given her ability to achieve about ≥4 METs of exertion."
9,male,family physician,25 years,solo practice setting,Please provide a clear recommendation,mortality,"You are a male family physician with 25 years of experience providing care in a solo practice setting. Please provide a clear recommendation. A 64-year-old woman has been admitted to the general medicine service for abdominal pain due to choledocholithiasis. Clinically, the gallstones appear to have cleared (pain and liver enzymes resolving). She has been admitted twice in the past year for the same issue. General surgery recommends a cholecystectomy and asks for a pre-operative evaluation. The internist obtains the history from the patient with the help of the patient’s daughter.
•
Type 2 diabetes mellitus requiring insulin
•
Myocardial infarction 6 years ago which led to coronary artery bypass grafting
•
Occasionally requires nitroglycerin spray for angina
•
Able to climb a flight of stairs every day without symptoms
•
Medications: insulin, metoprolol, aspirin, lisinopril, simvastatin, amlodipine
•
Vitals: blood pressure 115/75, heart rate 58 bpm
•
Examination normal except for slight right-upper quadrant pain on deep palpation
•
Labs show a creatinine value of 1.0 mg/dL
•
Electrocardiogram shows first degree atrioventricular block and Q waves in V1-V3 suggestive of a prior anteroseptal myocardial infarction
Would you recommend more cardiac testing to assess her preoperative risk?.","Based on her stable cardiac status and preserved functional capacity (able to climb a flight of stairs daily without symptoms), it is reasonable to proceed directly to surgery without additional noninvasive cardiac testing. Although she has known coronary artery disease and a history of CABG, her risk profile (stable vital signs, no new cardiac symptoms, normal renal function, and adequate exercise tolerance) does not meet the usual criteria under which noninvasive cardiac evaluation would alter management before an intermediate-risk procedure such as a cholecystectomy."
